Country.of.Origin,Species,Owner,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Cuper.Points
Costa Rica,Arabica,"ceca, s.a.",Caturra,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,7.83,84.17,0.0,0,0,Blue-Green,0.0,7.83
Ethiopia,Arabica,asefa dukamo keroma,Gesha,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0.1,0,0,Green,5.0,7.75
"Tanzania, United Republic Of",Arabica,selian coffee estate,Other,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,10.0,7.67,84.17,0.13,0,0,Green,0.0,7.67
Colombia,Arabica,olam agro colombia,Other,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,10.0,7.5,84.17,0.12,0,0,Green,4.0,7.5
Kenya,Arabica,itochu corporation,SL28,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,7.75,84.17,0.08,0,0,Green,0.0,7.75
Brazil,Arabica,owen carver,Mundo Novo,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,7.67,84.17,0.11,0,0,Green,3.0,7.67
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,7.42,84.17,0.11,0,0,Green,4.0,7.42
El Salvador,Arabica,atlantic specialty coffee,Bourbon,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,10.0,7.92,84.17,0.11,0,0,Bluish-Green,2.0,7.92
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,7.58,84.17,0.0,0,0,Green,2.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Catuai,Natural / Dry,7.83,7.5,7.5,8.0,7.83,7.83,10.0,10.0,10.0,7.67,84.17,0.11,0,0,Bluish-Green,2.0,7.67
Uganda,Arabica,afca,Other,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,7.67,84.17,0.11,0,0,Green,1.0,7.67
Indonesia,Arabica,pt.royal pacific indah international,Mandheling,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10.0,10.0,10.0,7.75,84.13,0.12,0,0,Bluish-Green,0.0,7.75
Colombia,Arabica,carcafe ltda ci,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,7.83,8.5,10.0,10.0,10.0,7.5,84.08,0.0,1,3,Green,3.0,7.5
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Washed / Wet,7.58,7.67,7.67,7.67,7.75,7.83,10.0,10.0,10.0,7.92,84.08,0.1,0,0,Bluish-Green,4.0,7.92
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,8.0,7.75,7.5,7.58,7.92,7.67,10.0,10.0,10.0,7.67,84.08,0.1,0,0,Green,4.0,7.67
Guatemala,Arabica,lusso lab,Bourbon,Washed / Wet,7.58,7.75,7.67,8.0,7.75,7.67,10.0,10.0,10.0,7.67,84.08,0.1,0,0,Bluish-Green,10.0,7.67
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Natural / Dry,7.83,7.75,7.83,7.83,7.42,8.08,9.33,10.0,10.0,8,84.08,0.11,1,0,Green,9.0,8.0
Mexico,Arabica,andres martinez leon,Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.83,84.08,0.11,1,0,Green,10.0,7.83
Ethiopia,Arabica,kyagalanyi coffee ltd,Gesha,Natural / Dry,7.83,7.75,7.67,7.75,7.33,7.75,10.0,10.0,10.0,7.92,84.0,0.11,3,11,Green,1.0,7.92
Honduras,Arabica,bismarck castro,Caturra,Washed / Wet,7.42,7.83,7.75,7.92,7.75,7.58,10.0,10.0,10.0,7.75,84.0,0.1,0,0,Green,5.0,7.75
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.75,7.67,10.0,10.0,10.0,7.58,84.0,0.12,0,0,Green,7.0,7.58
Colombia,Arabica,olam agro colombia,Other,Washed / Wet,7.67,7.67,7.83,7.58,7.58,7.83,10.0,10.0,10.0,7.83,84.0,0.11,2,0,Green,7.0,7.83
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Natural / Dry,7.92,7.67,7.42,7.92,7.75,7.83,10.0,10.0,10.0,7.5,84.0,0.1,0,0,Green,1.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Other,7.75,7.83,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.83,84.0,0.1,0,0,Green,0.0,7.83
Colombia,Arabica,compa̱ia colombiana agroindustrial s.a,Caturra,Natural / Dry,7.58,7.42,7.75,7.92,7.75,7.92,10.0,10.0,10.0,7.67,84.0,0.12,0,0,Green,0.0,7.67
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.67,7.67,10.0,10.0,10.0,8.33,84.0,0.12,0,0,Green,3.0,8.33
Ethiopia,Arabica,lusso lab,Other,Natural / Dry,7.75,7.75,7.5,7.58,7.67,7.92,10.0,10.0,10.0,7.83,84.0,0.09,4,0,Green,40.0,7.83
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,7.58,7.83,7.67,7.25,8.0,7.75,10.0,10.0,10.0,7.92,84.0,0.1,0,0,Green,0.0,7.92
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.67,7.83,7.67,7.75,7.67,7.75,10.0,10.0,10.0,7.67,84.0,0.11,0,0,Green,1.0,7.67
Kenya,Arabica,ibero kenya limited,SL34,Washed / Wet,7.67,7.83,7.5,7.75,7.92,7.67,10.0,10.0,10.0,7.67,84.0,0.0,0,0,Green,2.0,7.67
Thailand,Arabica,doi tung development project,Other,Washed / Wet,7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,8.42,84.0,0.12,0,0,Green,0.0,8.42
Kenya,Arabica,taylor winch (coffee) ltd.,SL28,Washed / Wet,7.67,7.75,7.67,7.75,7.83,7.67,10.0,10.0,10.0,7.67,84.0,0.0,0,0,Bluish-Green,0.0,7.67
Uganda,Arabica,afca,Other,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,10.0,7.58,84.0,0.1,10,0,Green,26.0,7.58
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.5,7.75,7.58,7.5,7.58,7.5,10.0,10.0,10.0,8.5,83.92,0.0,0,0,Green,3.0,8.5
Mexico,Arabica,cafes tomari sa de cv,Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.5,10.0,10.0,10.0,7.83,83.92,0.11,0,0,Green,5.0,7.83
Thailand,Arabica,sarawut premjit,Catimor,Natural / Dry,7.67,7.75,7.5,7.67,7.67,7.83,10.0,10.0,10.0,7.83,83.92,0.1,0,0,Bluish-Green,1.0,7.83
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.58,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,83.92,0.11,0,2,Green,7.0,7.83
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Washed / Wet,7.83,7.75,7.83,7.75,7.83,7.75,9.33,10.0,10.0,7.83,83.92,0.11,0,0,Green,3.0,7.83
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.75,7.58,7.67,7.83,7.83,7.67,10.0,10.0,10.0,7.58,83.92,0.0,0,0,Green,1.0,7.58
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Washed / Wet,8.0,7.92,7.92,7.92,7.67,7.33,10.0,10.0,10.0,7.17,83.92,0.06,0,0,Green,0.0,7.17
Colombia,Arabica,compa̱ia colombiana agroindustrial s.a,Caturra,Natural / Dry,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,7.5,83.92,0.12,0,0,Green,3.0,7.5
Mexico,Arabica,oscar ortega carballo,Typica,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,7.67,83.92,0.12,10,0,Blue-Green,32.0,7.67
Mexico,Arabica,organizaciones de productores de cafe colimense,Typica,Washed / Wet,7.75,7.92,7.83,7.92,7.75,7.67,9.33,10.0,10.0,7.75,83.92,0.0,0,0,Green,2.0,7.75
Colombia,Arabica,carcafe ltda ci,Caturra,Washed / Wet,7.92,7.58,7.5,7.83,7.58,7.67,10.0,10.0,10.0,7.75,83.83,0.0,1,0,Green,6.0,7.75
Costa Rica,Arabica,"ceca, s.a.",Caturra,Washed / Wet,7.67,7.67,7.75,7.67,7.5,7.75,10.0,10.0,10.0,7.83,83.83,0.0,0,0,Blue-Green,0.0,7.83
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.75,7.75,7.5,7.75,7.83,7.58,10.0,10.0,10.0,7.67,83.83,0.11,0,7,Green,6.0,7.67
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,7.25,7.58,7.42,8.0,7.75,7.83,10.0,10.0,10.0,8,83.83,0.0,0,0,Green,0.0,8.0
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Washed / Wet,7.67,7.75,7.67,7.75,7.42,7.75,10.0,10.0,10.0,7.83,83.83,0.0,0,0,Green,1.0,7.83
Brazil,Arabica,ipanema coffees,Bourbon,Semi-washed / Semi-pulped,7.67,7.67,7.58,7.5,7.83,8.17,10.0,10.0,9.33,8.08,83.83,0.0,0,0,Green,1.0,8.08
Costa Rica,Arabica,eric thormaehlen,Catuai,Washed / Wet,7.83,7.42,7.5,7.83,7.75,7.83,10.0,10.0,10.0,7.67,83.83,0.1,0,0,Green,3.0,7.67
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.58,7.83,7.33,8.0,7.58,7.75,10.0,10.0,10.0,7.75,83.83,0.1,0,0,Green,1.0,7.75
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,7.92,7.5,7.33,7.67,8.17,7.5,10.0,10.0,10.0,7.75,83.83,0.1,0,0,Green,0.0,7.75
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.67,7.58,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.92,83.83,0.11,0,0,Green,1.0,7.92
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.83,7.5,7.83,7.83,7.67,10.0,10.0,10.0,7.67,83.83,0.11,0,0,Green,3.0,7.67
Mexico,Arabica,filemon mendoza campos,Bourbon,Natural / Dry,7.67,8,7.67,7.42,7.67,7.5,10.0,10.0,10.0,7.92,83.83,0.1,0,0,Green,2.0,7.92
Brazil,Arabica,jacques pereira carneiro,Yellow Bourbon,Semi-washed / Semi-pulped,7.83,7.83,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.83,83.83,0.12,0,0,Green,3.0,7.83
Kenya,Arabica,kennedy macharia,SL28,Washed / Wet,7.75,7.58,7.5,7.58,7.75,7.75,10.0,10.0,10.0,7.83,83.75,0.11,0,0,Green,2.0,7.83
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.75,83.75,0.11,0,0,Green,5.0,7.75
Colombia,Arabica,carcafe ltda ci,Caturra,Washed / Wet,7.83,7.83,7.58,7.58,7.58,7.58,10.0,10.0,10.0,7.75,83.75,0.11,0,0,Green,1.0,7.75
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Natural / Dry,7.67,7.67,7.58,7.58,7.67,7.83,10.0,10.0,10.0,7.75,83.75,0.0,0,0,Green,0.0,7.75
China,Arabica,yunnan coffee exchange,Catimor,Washed / Wet,7.83,7.75,7.67,7.5,7.58,7.67,10.0,10.0,10.0,7.75,83.75,0.1,0,1,Green,2.0,7.75
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.75,7.67,7.5,7.67,7.58,7.83,10.0,10.0,10.0,7.75,83.75,0.0,0,0,Green,0.0,7.75
Uganda,Arabica,nile highland arabica coffee farmers,Bourbon,Natural / Dry,8.0,7.92,7.58,7.75,7.33,7.5,10.0,10.0,10.0,7.67,83.75,0.12,0,0,Green,0.0,7.67
United States (Puerto Rico),Arabica,german negron,Other,Washed / Wet,7.83,7.83,7.83,7.67,8.0,8.17,9.33,9.33,10.0,7.75,83.75,0.12,0,0,Green,1.0,7.75
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.67,7.67,7.92,7.5,7.67,10.0,10.0,10.0,7.67,83.75,0.0,0,0,Green,5.0,7.67
Colombia,Arabica,olam agro colombia,Other,Washed / Wet,7.67,7.42,7.42,7.42,8.0,8.33,10.0,10.0,10.0,7.5,83.75,0.0,0,0,Green,3.0,7.5
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.58,7.67,7.75,7.67,7.67,7.67,10.0,10.0,10.0,7.75,83.75,0.0,0,0,Blue-Green,1.0,7.75
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.75,7.67,7.75,7.58,7.42,8.0,10.0,10.0,10.0,7.58,83.75,0.11,0,0,Green,3.0,7.58
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Natural / Dry,7.25,7.42,7.67,7.58,7.83,8.25,10.0,10.0,10.0,7.75,83.75,0.0,0,0,Bluish-Green,0.0,7.75
Mexico,Arabica,saul m. hernandez ramirez,Caturra,Natural / Dry,7.83,7.58,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.83,83.75,0.13,5,0,None,5.0,7.83
Guatemala,Arabica,the coffee source inc.,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.75,7.75,10.0,10.0,10.0,7.75,83.75,0.11,0,0,Bluish-Green,1.0,7.75
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.67,7.83,7.5,7.67,7.67,7.5,10.0,10.0,10.0,7.83,83.67,0.11,0,0,Green,2.0,7.83
Kenya,Arabica,kennedy macharia,SL28,Washed / Wet,8.08,7.67,7.67,7.58,7.25,7.67,10.0,10.0,10.0,7.75,83.67,0.11,0,0,Bluish-Green,0.0,7.75
Honduras,Arabica,bismarck castro,Caturra,Washed / Wet,7.5,7.5,7.67,7.67,8.0,8.0,10.0,10.0,10.0,7.33,83.67,0.1,0,0,Green,2.0,7.33
Nicaragua,Arabica,"comercial internacional exportadora, s.a.",Caturra,Washed / Wet,7.67,7.75,7.67,7.67,7.83,7.58,10.0,10.0,10.0,7.5,83.67,0.1,0,0,Green,3.0,7.5
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.58,7.75,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.83,83.67,0.11,0,2,Green,3.0,7.83
Taiwan,Arabica,"lin, che-hao krude ???",Caturra,Natural / Dry,7.5,7.67,7.33,7.92,7.83,7.67,10.0,10.0,10.0,7.75,83.67,0.1,0,0,Bluish-Green,0.0,7.75
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,8.0,7.5,7.33,8.0,8.0,8.0,9.33,10.0,10.0,7.5,83.67,0.1,0,0,Green,0.0,7.5
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,7.58,83.67,0.0,0,0,Green,3.0,7.58
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.67,7.67,7.67,7.33,7.75,10.0,10.0,10.0,7.92,83.67,0.0,0,0,Green,1.0,7.92
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,7.67,7.42,7.67,8.0,7.75,10.0,10.0,10.0,7.5,83.67,0.12,1,0,Green,3.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.83,7.67,7.33,7.67,7.67,7.83,10.0,10.0,10.0,7.67,83.67,0.11,0,0,Green,2.0,7.67
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.75,7.75,7.58,7.83,7.17,7.75,10.0,10.0,10.0,7.83,83.67,0.11,0,0,Green,1.0,7.83
Guatemala,Arabica,the coffee source inc.,Caturra,Natural / Dry,8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,8,83.67,0.11,0,0,Green,1.0,8.0
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,8.17,7.5,7.42,7.58,7.83,10.0,10.0,10.0,7.5,83.67,0.11,0,0,Green,13.0,7.5
Mexico,Arabica,juan luis ortega carballo,Typica,Washed / Wet,7.67,7.5,7.5,7.33,7.83,8.25,10.0,10.0,10.0,7.58,83.67,0.12,4,0,Green,11.0,7.58
Indonesia,Arabica,ekai international company ltd.,Typica,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,10.0,7.58,83.67,0.12,0,0,Green,0.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.67,7.5,7.33,8.0,7.67,7.67,10.0,10.0,10.0,7.83,83.67,0.1,0,0,Green,0.0,7.83
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.58,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.92,83.58,0.11,0,0,Green,5.0,7.92
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.75,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.58,0.11,0,1,Green,0.0,7.58
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,0.11,0,0,Green,4.0,7.67
China,Arabica,yunnan coffee exchange,Catimor,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,0.1,0,1,Green,4.0,7.75
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.58,83.58,0.12,0,0,Green,3.0,7.58
Mexico,Arabica,andreas kussmaul,Caturra,Washed / Wet,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,7.75,83.58,0.12,1,0,Green,13.0,7.75
Uganda,Arabica,bulamburi coffee farmers association,SL14,Washed / Wet,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.58,0.12,0,0,Green,5.0,7.67
Colombia,Arabica,compa̱ia colombiana agroindustrial s.a,Caturra,Natural / Dry,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.58,0.0,0,0,Green,0.0,7.67
Colombia,Arabica,compa̱ia colombiana agroindustrial s.a,Caturra,Washed / Wet,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,7.67,83.58,0.12,0,0,Green,1.0,7.67
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Other,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,7.5,83.58,0.11,0,0,Green,0.0,7.5
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.58,0.11,0,0,Green,3.0,7.67
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,0.11,0,0,Green,4.0,7.75
Brazil,Arabica,nucoffee,Catuai,Semi-washed / Semi-pulped,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,83.58,0.12,0,0,Blue-Green,2.0,7.67
Colombia,Arabica,carcafe ltda ci,Caturra,Washed / Wet,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,7.58,83.5,0.0,0,0,Bluish-Green,5.0,7.58
Costa Rica,Arabica,"ceca, s.a.",Caturra,Washed / Wet,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.83,83.5,0.0,0,0,Blue-Green,0.0,7.83
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.58,83.5,0.0,0,0,Green,0.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.5,0.1,0,2,Bluish-Green,5.0,7.58
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.75,83.5,0.12,0,0,Green,4.0,7.75
"Tanzania, United Republic Of",Arabica,damari absalome,Ruiru 11,Washed / Wet,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.5,0.13,0,0,Green,21.0,7.58
Indonesia,Arabica,aulia arif syahri,Sumatra,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,7.67,83.5,0.13,0,0,Bluish-Green,8.0,7.67
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,7.58,83.5,0.11,0,0,Green,0.0,7.58
Guatemala,Arabica,the coffee source inc.,Caturra,Washed / Wet,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,7.75,83.5,0.1,0,0,Green,0.0,7.75
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,7.67,83.5,0.0,1,0,Green,1.0,7.67
Mexico,Arabica,manuel herrera juarez,Bourbon,Natural / Dry,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,8.42,83.5,0.13,0,0,Green,14.0,8.42
Mexico,Arabica,miguel cortes moreno,Typica,Semi-washed / Semi-pulped,7.67,7.75,7.67,7.75,7.58,7.5,10.0,10.0,10.0,7.58,83.5,0.11,0,0,Green,12.0,7.58
Mexico,Arabica,gabriel bernardo rivas ross,Pacamara,Washed / Wet,7.75,7.67,7.67,7.75,7.33,7.5,10.0,10.0,10.0,7.83,83.5,0.12,0,0,Green,0.0,7.83
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.83,7.5,7.5,8.0,7.67,7.5,10.0,10.0,10.0,7.5,83.5,0.1,0,0,Green,5.0,7.5
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.58,7.58,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.5,0.11,0,0,Green,0.0,7.67
Guatemala,Arabica,felipe isaza,Bourbon,Washed / Wet,7.5,7.5,7.75,7.5,8.0,7.67,10.0,10.0,10.0,7.58,83.5,0.0,3,0,Green,12.0,7.58
Colombia,Arabica,carcafe ltda ci,Caturra,Washed / Wet,7.5,7.58,7.58,7.5,7.75,7.83,10.0,10.0,10.0,7.67,83.42,0.0,0,2,Green,1.0,7.67
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,7.75,7.5,7.58,7.58,7.67,10.0,10.0,10.0,7.67,83.42,0.1,0,0,Green,3.0,7.67
Colombia,Arabica,carcafe ltda ci,Caturra,Washed / Wet,7.67,7.67,7.5,7.67,7.67,7.58,10.0,10.0,10.0,7.67,83.42,0.11,0,0,Green,2.0,7.67
Costa Rica,Arabica,"ceca, s.a.",Caturra,Washed / Wet,7.58,7.5,7.42,7.92,7.5,7.67,10.0,10.0,10.0,7.83,83.42,0.09,0,0,Blue-Green,4.0,7.83
Uganda,Arabica,bugisu cooperative union,SL14,Washed / Wet,7.58,7.75,7.33,7.75,7.67,7.58,10.0,10.0,10.0,7.75,83.42,0.11,0,0,Green,1.0,7.75
Thailand,Arabica,???? koju matsuzawa,Catimor,Washed / Wet,7.5,7.58,7.75,7.5,7.75,7.67,10.0,10.0,10.0,7.67,83.42,0.13,0,0,Bluish-Green,0.0,7.67
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.58,7.67,7.58,7.67,7.58,7.67,10.0,10.0,10.0,7.67,83.42,0.12,4,0,Green,0.0,7.67
Brazil,Arabica,bourbon specialty coffees,Yellow Bourbon,Semi-washed / Semi-pulped,7.33,7.83,7.75,7.5,7.42,7.83,10.0,10.0,10.0,7.75,83.42,0.12,0,0,Green,6.0,7.75
"Tanzania, United Republic Of",Arabica,ngila estate ltd,Bourbon,Washed / Wet,7.75,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,7.58,83.42,0.13,0,0,Green,4.0,7.58
Colombia,Arabica,compa̱ia colombiana agroindustrial s.a,Caturra,Washed / Wet,7.58,7.58,7.25,7.75,7.75,8.58,9.33,10.0,10.0,7.58,83.42,0.12,0,0,Green,1.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Natural / Dry,7.75,7.83,7.33,7.83,7.5,7.67,10.0,10.0,10.0,7.5,83.42,0.1,0,0,Green,1.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.67,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.58,83.42,0.1,0,0,Green,2.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,7.5,7.75,7.42,7.75,7.75,10.0,10.0,10.0,7.58,83.42,0.11,0,0,Green,0.0,7.58
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Natural / Dry,7.42,7.75,7.67,7.58,7.67,7.67,10.0,10.0,10.0,7.67,83.42,0.0,0,0,Green,2.0,7.67
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.5,7.75,7.58,7.5,7.67,7.75,10.0,10.0,10.0,7.67,83.42,0.11,0,0,Green,2.0,7.67
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.67,7.75,10.0,10.0,10.0,7.67,83.33,0.0,0,0,Blue-Green,0.0,7.67
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.83,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.33,0.0,1,0,Green,2.0,7.67
Brazil,Arabica,ipanema coffees,Catuai,Semi-washed / Semi-pulped,7.5,7.83,7.33,7.58,7.58,7.92,10.0,10.0,10.0,7.58,83.33,0.1,1,0,Green,5.0,7.58
Mexico,Arabica,andreas kussmaul,Caturra,Washed / Wet,7.75,7.75,7.5,7.67,7.5,7.58,10.0,10.0,10.0,7.58,83.33,0.12,0,0,Green,2.0,7.58
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.67,7.75,7.42,7.83,7.83,7.42,10.0,10.0,10.0,7.42,83.33,0.11,0,0,Green,1.0,7.42
"Tanzania, United Republic Of",Arabica,afca,Other,Semi-washed / Semi-pulped,7.75,7.58,7.67,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.33,0.12,0,0,Green,6.0,7.58
Mexico,Arabica,j.andrade,Other,Washed / Wet,7.67,7.67,7.58,7.67,7.5,7.58,10.0,10.0,10.0,7.67,83.33,0.12,0,0,Green,0.0,7.67
Costa Rica,Arabica,the coffee source inc.,Caturra,Washed / Wet,7.67,7.67,7.42,7.67,7.67,7.67,10.0,10.0,10.0,7.58,83.33,0.12,0,0,Green,3.0,7.58
